ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_Plan,Contact
6930210,Adventist Health Bakersfield,2615 Chester Avenue,Bakersfield,93301-2014,CA,Adventist Health,Non-Profit,2019,"Combination of counties, zip codes, and places",Kern,"93203, 93215, 93241, 93263, 93268, 93280, 93301, 93304, 93305, 93306, 93307, 93308, 93309, 93311, 93312, 93313, 93314","Arvin, Delano, Lamont, Shafter, Taft, Wasco, Bakersfield","Access to Health Care, Alzheimers Disease, Birth Indicators, Chronic Diseases, Dental care/oral health, Economic Insecurity, Environmental Pollution, Food Insecurity, Housing and homelessness, Mental health, Overweight and obesity, Preventive practices, Sexually Transmitted Infections, Substance Use and Misuse, Unintentional Injuries, Violence and Injury","Housing and homelessness, Economic insecurity, Chronic Diseases, Food insecurity, Preventive practices, Overweight and Obesity",https://www.adventisthealth.org/documents/community-benefit/2019-chna/Bakersfield_2019_CommunityHealthNeedsAssessment.pdf,https://www.adventisthealth.org/images/AHBD-2022-community-health-plan.pdf,"tomonock@ah.org, 661-305-3000"
6930425,Adventist Health Clear Lake,15630 18th Avenue,Clearlake,95422-9336,CA,Adventist Health,Non-Profit,2019,List of Counties,Lake,N/A,N/A,"Healthy Behaviors, Clinical Care, Social & Economic Factors, Physical Environment","Address Drug Abuse, Target Homelessness , Access to Health Services, Cancer Prevention & Screening",https://www.adventisthealth.org/documents/community-benefit/2019-chp-update-ar/ClearLake_2019_Community-Health-Plan-Update-Annual-Report.pdf,https://www.adventisthealth.org/images/AHCL-2022-community-health-plan.pdf,N/A
6930831,Adventist Health Glendale,"8700 Beverly Blvd, NT-3138",Los Angeles,90048,CA,Adventist Health,Non-Profit,2019,"Combination of counties, zip codes, and places",Los Angeles,"90041, 90042, 90065, 91020, 91201, 91202, 91203, 91204, 91205, 91206, 91207, 91208","Eagle Rock, Highland Park, Glassell Park, Montrose, Glendale","Poverty & Homelessness, Mental Health & Substance Abuse, Access to Medical Care, Cardiovascular Disease, Preventive Wellness, Stroke, Oncology, Geriatric Support, Diabetes","Poverty & Homelessness including Mental Health and Substance Abuse, Access to Medical Care, Cardiovascular Diseases including Stroke, Preventive Wellness including Diabetes, Geriatric Support
",https://www.adventisthealth.org/documents/community-benefit/2019-chna/Glendale_2019_CommunityHealthNeedsAssessment.pdf,https://www.adventisthealth.org/images/AHGL-2022-community-health-plan.pdf,NelsonBR@ah.org
6933889,Adventist Health Howard Memorial,One Marcela Drive,Willits,95490-4298,CA,Adventist Health,Non-Profit,2019,"Combination of counties, zip codes, and places",Mendocino,"95428, 95437, 95454, 95482, 95490, 95525, 95422, 95451, 95453, 95449, 95460, 95469, 95470","Covelo, Cleone, Laytonville , Ukiah, Willits, Blue Lake , Clearlake , Kelseyville , Lakeport , Hopland , Mendocino , Potter Valley , Redwood Valley ","Mental Health, Alcohol and Drug Abuse, Homelessness, Economic issues, Chronic Diseases, Access to health care","Mental Health, Substance Abuse, Workforce Development",https://www.adventisthealth.org/documents/community-benefit/2019-chna/Howard_2019_CommunityHealthNeedsAssessment.pdf,https://www.adventisthealth.org/images/AHHM-2022-community-health-plan.pdf,"(707) 456-3591, WinigeCM@ah.org "
6930007,Adventist Health Lodi Memorial,975 South Fairmont Avenue,Lodi,95240-5118,CA,Adventist Health,Non-Profit,2022,Combination of counties and places,San Joaquin,N/A,"Stockton, Tracy, Manteca, Lodi, Lathrop, Ripon, Escalon, Galt","Mental Health, Acess to care, Income & Employment, Housing, Chronic Disease, Community Safety, Family & Social Support, Education, Transportation","Mental Health, Economic Security, Obesity/Healthy Eating and Active Living (HEAL)/Diabetes",https://www.adventisthealth.org/images/lodimemorial/2022CHNA-Lodi.pdf,https://www.adventisthealth.org/documents/community-benefit/2020-chis/Lodi_2020_CommunityHealthImplementationStrategy.pdf,"GonzalK02@ah.org, 209-339-7590"
6933675,Adventist Health Medical Center - Tehachapi Valley,115 West 'E' Street,Tehachapi,93561-1607,CA,Adventist Health,Non-Profit,2022,Combination of zip codes and places,N/A,"93528, 93558, 93501, 93519, 93518, 93516, 93531, 93554, 93241,93560, 93561, 93203, 93505, 93523, 93527, 93524",Tehachapi,"Access to Care, Community Safety, Community Vitality, Education, Environment & Infrastructure, Financial Stability, Food Security, Health Conditions, Health Risk Behaviors, Housing, Inclusion & Equity, Mental Health","Access to Care, Community Safety, Community Vitality, Education, Environment & Infrastructure, Financial Stability, Food Security, Health Conditions, Health Risk Behaviors, Housing, Inclusion & Equity, Mental Health",N/A,https://www.adventisthealth.org/images/Tehachapi-Valley-2022-CHIS.pdf,N/A
6930268,Adventist Health and Rideout,726 Fourth Street,Marysville,95901-5600,CA,Adventist Health,Non-Profit,2022,Combination of zip codes and places,N/A,"95901, 95953, 95961, 95991, 95993","Marysville, CA, Yuba City, CA","Access to Mental/Behavioral Health and Substance Use Services, Access to Basic Needs Such as Housing, Jobs, and Food, Active Living and Healthy Eating, Access to Specialty and Extended Care, Access to Quality Primary Care Health Services, Access to Functional Needs, Injury and Disease Prevention and Management, Increased Community Connections, Safe and Violence-Free Environment","Access to Mental/Behavioral Health and Substance Use Services, Access to Basic Needs Such as Housing, Jobs, and Food, Active Living and Healthy Eating, Access to Specialty and Extended Care, Access to Quality Primary Care Health Services, Access to Functional Needs, Injury and Disease Prevention and Management, Increased Community Connections, Safe and Violence-Free Environment",https://www.adventisthealth.org/images/rideout/2022CHNA-Rideout.pdf,N/A,N/A
6933505,Adventist Health Simi Valley,2975 North Sycamore Drive,Simi Valley,93065-1277,CA,Adventist Health,Non-Profit,2022,List of Counties,Ventura,N/A,N/A,"Addressing Mental Health and Substance Abuse Across the Lifespan, Prevention of Chronic Conditions by Promoting Healthy Lifestyles, Advancing Equitable Access to Healthcare ","Addressing Mental Health and Substance Abuse Across the Lifespan, Prevention of Chronic Conditions by Promoting Healthy Lifestyles, Advancing Equitable Access to Healthcare ",https://www.adventisthealth.org/images/simivalley/2022-CHNA-Simi-Valley-web.pdf,N/A,stileskm@ah.org
6933533,Adventist Health Sonora,1000 Greenley Road,Sonora,95370-4819,CA,Adventist Health,Non-Profit,2022,List of Zip Codes,N/A,"95311, 95310, 95248, 95251, 95224, 95318, 95223, 95370, 95383, 95321, 95364, 95247, 95329, 95222, 95372, 95305, 95346, 95379, 95375, 95233, 95327, 95335, 95228, 95249, 95246",N/A,"Access to Care, Community Safety, Community Vitality, Education, Environment & Infrastructure, Financial Stability, Food Security, Health Conditions, Health Risk Behaviors, Housing, Inclusion & Equity, Mental Health","Access to Care, Community Safety, Community Vitality, Education, Environment & Infrastructure, Financial Stability, Food Security, Health Conditions, Health Risk Behaviors, Housing, Inclusion & Equity, Mental Health",https://www.adventisthealth.org/images/Sonora-2022-CHIS.pdf,https://www.adventisthealth.org/images/Sonora-2022-CHIS.pdf,N/A
6933180,Adventist Health St. Helena,10 Woodland Road,Saint Helena,94574-9554,CA,Adventist Health,Non-Profit,2022,List of Zip Codes,N/A,"94567, 95423, 95467, 94515, 94576, 94508, 95451, 94599, 94574, 95457, 95453, 94503, 94559, 94558, 95422, 95443, 95461",N/A,"Access to Care, Community Safety, Community Vitality, Education, Environment & Infrastructure, Financial Stability, Food Security, Health Conditions, Health Risk Behaviors, Housing, Inclusion & Equit","Access to Care, Community Safety, Community Vitality, Education, Environment & Infrastructure, Financial Stability, Food Security, Health Conditions, Health Risk Behaviors, Housing, Inclusion & Equity, Mental Health",https://www.adventisthealth.org/images/StHelena-2022-CHIS.pdf,https://www.adventisthealth.org/images/StHelena-2022-CHIS.pdf,N/A
6933765,Adventist Health St. Helena,525 Oregon Street,Vallejo,94590-3201,CA,Adventist Health,Non-Profit,2022,Combination of counties and zip codes,"Napa, Lake, Sonoma","94567, 95423, 95467, 94515, 94576, 94508, 95451, 94599, 94574, 95457, 95453, 94503, 94559, 94558, 95422, 95443, 95461",N/A,"Access to Care, Health Conditions Physical Health, Mental Health, Financial Stability, Health Risk Behaviors, Housing, Food Security, Environment & Infrastructure, Homelessness, COVID, Education","Access to Care, Health Conditions Physical Health, Mental Health",https://www.flipsnack.com/E7DDD888B7A/adventist-health-st-helena-2022-chna-report/full-view.html,N/A,N/A
