ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6820310,Franklin County Medical Center,44 North First East Street,Preston,83263-1399,ID,,Non-profit,N/A unable to find,,,,,,,,,
6820035,St. Luke's Rehabilitation Hospital,600 North Robbins Road,Boise,83702-4565,ID,St. Luke's Health System,Non-profit,2023,Combination of counties and places,"Adams, Canyon, Gem, Owyhee, Payette, Washington, Ada, Boise, Elmore, Valley",N/A,N/A ,"Health Behaviors, Clinical Care, Social and Economic Factors, Physical Environment","Safe, Affordable Housing and Homelessness; Behavioral Health (Mental Health, Well-being, and Substance Misuse); Access to Affordable Health Care (Oral and Vision Health)",https://www.stlukesonline.org/about-st-lukes/supporting-the-community/~/media/11122d8f3b1c4a1984d547d33ac0e701.ashx,https://www.stlukesonline.org/about-st-lukes/supporting-the-community/~/media/11122d8f3b1c4a1984d547d33ac0e701.ashx,slrmcchna@slhs.org
6820003,St. Luke's Wood River Medical Center,100 Hospital Drive,Ketchum,83340,ID,St. Luke's Health System,Non-profit,2023,"Combination of counties, zip codes, and places",Blaine,N/A ,"Wood River Valley, Carey","Health Behaviors, Clinical Care, Social and Economic Factors, Physical Environment","Access to health-related service (language and cultural barriers); mental well-being (suicide and substance misuse); High cost of living (housing, caregiving, and early learning)",https://www.stlukesonline.org/about-st-lukes/supporting-the-community/~/media/f9f22bed4f47495e99efb8373b39137f.ashx,https://www.stlukesonline.org/about-st-lukes/supporting-the-community/~/media/f9f22bed4f47495e99efb8373b39137f.ashx,slrmcchna@slhs.org
6820120,St. Mary's Hospital,701 Lewiston Street,Cottonwood,83522-9750,ID,Essentia Health,Non-profit,2023,Combination of counties and places,"Idaho, Lewis, Clearwater",n/a,"Orofino, Kamiah, Cottonwood, Grangeville","Deaths of Despair, Obesity/Healty Lifestyle, Access to Quality Care, Cancer Screening","Deaths of Despair, Obesity/Healty Lifestyle, Access to Quality Care, Cancer Screening",https://smh-cvh.org/wp-content/uploads/2023/07/CHNA-Report_2023.pdf,https://smh-cvh.org/wp-content/uploads/2023/07/CHNA-Report_2023.pdf,kimberly.johnson@kh.org
6820280,State Hospital North,300 Hospital Drive,Orofino,83544-9034,ID,,Public,N/A unable to find,,,,,,,,,
6820020,State Hospital South,700 East Alice Street,Blackfoot,83221-4925,ID,,Public,N/A unable to find,,,,,,,,,
6820355,Steele Memorial Medical Center,203 South Daisy Street,Salmon,83467-4709,ID,QHR,Non-profit,N/A unable to find,,,,,,,,,
6820150,Syringa Hospital and Clinics,607 West Main Street,Grangeville,83530-1396,ID,,Non-profit,N/A unable to find,,,,,,,,,
6820127,Teton Valley Health Care,120 East Howard Street,Driggs,83422-5112,ID,,Non-profit,2022,"Combination of counties, zip codes, and places",Teton,"83422, 83424, 83452, 83455, 83414","Driggs, Felt, Tetonia, Victor, Alta ","Behavoral Health, Affordability of Healthcare, Access to Healthcare Services, Cancer","Affordable Housing, Mental Health, Healthcare Services (Affordability), Education System, Healthcare Services (Physical presence), Livable Wage, Access to Childcare, Access to Healthy Foods, Access to Senior Services, Cancer, Drug/Substance Abuse",https://tvhcare.org/wp-content/uploads/2022/12/TVH-CHNA-Final-Report.pdf,https://tvhcare.org/wp-content/uploads/2022/12/TVH-CHNA-Final-Report.pdf,N/A
6820008,Treasure Valley Hospital,8800 West Emerald Street,Boise,83704-8205,ID,SCA Health,Unable to Find,N/A unable to find,,,,,,,,,
6820130,Valor Health,1202 East Locust Street,Emmett,83617-2715,ID,,Non-profit,2023,List of Counties,Gem,N/A,N/A,"Access to Affordable Healthcare, Access to Quality Healthcare, Health Education, Community Engagement and Coaliation Building, Behavioral Health, Nutrition ","Access to Affordable Healthcare, Access to Quality Healthcare, Health Education, Community Engagement and Coaliation Building, Behavioral Health, Nutrition ",N/A,https://www.valorhealth.org/wp-content/uploads/2024/01/CB-Implementation-Strat-FY24.pdf,community@valorhealth.org
6820134,Vibra Hospital of Boise,6651 West Franklin Road,Boise,83709-0914,ID,Vibra Healthcare,Unable to Find,N/A unable to find,,,,,,,,,
6820405,Weiser Memorial Hospital,645 East Fifth Street,Weiser,83672-2202,ID,St. Luke's Health System,Non-profit,2022,List of Counties,Washington ,N/A,N/A,"Health Behaviors, Social and Economic Factors, Clinical Care, Physical Environment ","Mental Health and Wellbeing, Risky Health Behavior, Obesity and Weight Management, Physical Inactivity ",https://www.weisermemorialhospital.org/files/CHNA/chna-complete.pdf,https://www.weisermemorialhospital.org/files/CHNA/2022_implementation_plan.pdf,N/A
6820085,West Valley Medical Center,1717 Arlington,Caldwell,83605-4802,ID,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
